CustomerID,Age,TenureMonths,MonthlyCharge,SupportCalls,ContractType,HasInternetService,SatisfactionScore,Churn
CUST1120,58,39,72.1,2,One Year,1,6.1,0
CUST1121,45,14,82.36,0,Month-to-Month,1,8.1,0
CUST1122,24,32,28.91,0,Month-to-Month,1,10.0,0
CUST1123,26,51,95.53,4,One Year,1,7.2,1
CUST1124,25,38,32.77,3,One Year,1,6.1,0
CUST1125,29,23,102.61,1,One Year,1,7.4,0
CUST1126,51,63,98.2,2,One Year,0,5.3,0
CUST1127,50,15,90.87,0,One Year,1,10.0,0
CUST1128,65,25,23.62,0,Month-to-Month,1,6.4,0
CUST1129,40,17,50.31,1,Month-to-Month,0,5.5,0
CUST1130,41,66,46.31,2,Month-to-Month,1,4.3,0
CUST1131,54,53,56.01,2,Month-to-Month,1,8.2,1
CUST1132,52,51,28.76,1,One Year,1,7.7,0
CUST1133,61,39,113.7,0,Two Year,1,5.0,0
CUST1134,57,51,75.38,3,Two Year,0,7.2,0
CUST1135,39,70,50.55,3,One Year,1,3.0,0
CUST1136,44,6,59.7,3,Month-to-Month,1,6.4,1
CUST1137,52,67,64.72,5,Month-to-Month,1,6.9,1
CUST1138,18,7,80.06,2,Two Year,1,9.4,0
CUST1139,52,51,71.57,2,One Year,1,4.5,0
CUST1140,54,42,111.94,3,One Year,1,3.4,0
CUST1141,64,64,69.7,2,One Year,1,4.2,1
CUST1142,31,15,119.22,2,One Year,1,3.3,0
CUST1143,20,29,105.14,2,Two Year,1,8.7,0
CUST1144,18,33,40.85,6,Month-to-Month,0,9.1,0
CUST1145,22,27,113.06,4,One Year,0,6.6,0
CUST1146,43,36,31.64,1,Two Year,1,8.4,0
CUST1147,31,29,101.74,6,Month-to-Month,1,6.3,1
CUST1148,56,38,58.06,1,One Year,1,5.8,0
CUST1149,44,57,107.8,3,Month-to-Month,0,5.3,0
CUST1150,26,27,106.81,1,Two Year,0,5.4,0
CUST1151,32,55,100.59,3,Month-to-Month,1,2.9,0
CUST1152,32,33,99.0,4,One Year,1,6.5,0
CUST1153,43,68,50.47,3,Month-to-Month,1,5.9,1
CUST1154,59,66,28.09,3,One Year,1,7.5,0
CUST1155,30,10,60.3,2,Month-to-Month,1,6.2,0
CUST1156,68,5,37.35,4,Month-to-Month,1,5.7,0
CUST1157,49,38,89.5,4,Month-to-Month,1,4.3,1
CUST1158,56,13,54.61,1,Two Year,1,6.1,0
CUST1159,66,31,117.56,2,Month-to-Month,1,7.5,0
CUST1160,69,47,84.1,2,Month-to-Month,1,3.7,1
CUST1161,49,52,102.25,2,One Year,0,6.2,0
CUST1162,21,56,33.25,2,One Year,1,6.5,0
CUST1163,47,15,106.2,2,Two Year,1,4.6,0
CUST1164,54,29,112.28,4,Month-to-Month,1,4.8,1
CUST1165,40,8,68.71,1,One Year,0,6.5,0
CUST1166,56,5,80.63,1,Month-to-Month,1,3.7,0
CUST1167,62,29,96.48,1,Month-to-Month,1,6.7,0
CUST1168,32,47,37.48,2,One Year,1,4.2,0
CUST1169,60,68,70.26,1,One Year,1,8.1,0
CUST1170,46,45,59.87,1,One Year,1,10.0,0
CUST1171,53,2,34.64,3,Month-to-Month,1,4.3,1
CUST1172,30,27,56.75,2,Month-to-Month,1,7.1,0
CUST1173,49,36,26.82,1,Month-to-Month,1,4.5,0
CUST1174,24,36,22.58,1,Two Year,1,8.1,0
CUST1175,68,26,33.52,3,Month-to-Month,1,3.5,0
CUST1176,39,43,116.31,0,Month-to-Month,1,7.0,0
CUST1177,45,27,74.95,2,Month-to-Month,1,4.3,0
CUST1178,19,69,116.58,3,One Year,1,5.6,0
CUST1179,59,20,63.25,0,Month-to-Month,1,3.9,0
CUST1180,62,11,51.18,3,Two Year,1,7.6,0
CUST1181,23,38,70.61,2,Month-to-Month,1,4.3,1
CUST1182,45,6,63.95,3,Two Year,1,7.1,0
CUST1183,45,23,30.57,2,Month-to-Month,1,5.3,0
CUST1184,61,47,84.08,2,One Year,1,5.8,0
CUST1185,61,46,41.6,3,Two Year,1,6.3,0
CUST1186,37,12,81.96,2,Month-to-Month,0,4.5,0
CUST1187,47,13,85.02,3,Two Year,1,6.4,0
CUST1188,28,62,35.2,2,Month-to-Month,1,9.1,0
CUST1189,45,60,26.13,0,Two Year,1,4.4,0
CUST1190,42,43,98.08,1,One Year,1,8.3,0
CUST1191,56,68,65.98,3,Month-to-Month,1,9.0,1
CUST1192,50,5,25.82,2,Month-to-Month,0,4.4,0
CUST1193,18,37,119.49,3,Month-to-Month,1,3.1,0
CUST1194,44,31,25.78,1,Month-to-Month,1,6.6,1
CUST1195,69,9,89.5,2,Month-to-Month,1,4.9,0
CUST1196,30,51,118.37,0,Month-to-Month,1,9.7,0
CUST1197,58,29,43.92,1,Month-to-Month,0,6.1,0
CUST1198,20,40,34.22,1,One Year,1,4.4,0
CUST1199,56,41,32.14,0,Month-to-Month,1,3.7,0
CUST1200,23,11,50.33,4,Month-to-Month,1,8.2,0
CUST1201,25,23,30.1,6,One Year,0,4.9,0
CUST1202,44,1,89.22,4,Month-to-Month,1,6.1,0
CUST1203,26,46,26.23,3,Month-to-Month,0,7.9,0
CUST1204,54,21,70.94,1,Month-to-Month,1,5.0,0
CUST1205,50,36,119.67,4,Two Year,1,5.9,0
CUST1206,68,54,101.4,2,Two Year,1,6.0,0
CUST1207,59,57,81.52,3,Month-to-Month,1,7.4,0
CUST1208,61,1,50.63,2,One Year,1,7.2,0
CUST1209,41,63,82.39,0,One Year,1,5.6,0
CUST1210,32,54,72.7,2,One Year,0,6.1,0
CUST1211,49,55,62.61,2,One Year,1,5.3,0
CUST1212,49,40,33.07,3,One Year,1,3.0,0
CUST1213,41,15,108.66,1,Month-to-Month,0,6.5,0
CUST1214,58,21,64.98,0,Month-to-Month,1,9.8,0
CUST1215,69,47,39.46,1,Month-to-Month,1,4.2,1
CUST1216,66,53,56.78,3,Two Year,0,4.5,0
CUST1217,66,9,61.41,1,One Year,0,4.3,0
CUST1218,69,52,102.75,1,Two Year,1,7.4,0
CUST1219,29,57,93.36,2,Two Year,1,6.9,0
CUST1220,56,26,96.93,5,Month-to-Month,1,5.7,1
CUST1221,19,41,21.1,4,One Year,1,4.2,0
CUST1222,20,35,61.62,2,One Year,1,6.2,1
CUST1223,66,63,68.13,2,Two Year,0,2.9,0
CUST1224,54,25,21.92,5,Two Year,1,6.3,0
CUST1225,66,38,45.98,1,One Year,1,7.7,0
CUST1226,34,2,96.03,2,Month-to-Month,1,3.5,0
CUST1227,66,7,33.71,1,One Year,1,2.9,0
CUST1228,19,34,73.53,3,Month-to-Month,1,9.2,0
CUST1229,19,17,41.52,0,One Year,0,4.8,0
CUST1230,45,43,21.21,0,Two Year,0,8.3,0
CUST1231,40,59,44.12,2,Month-to-Month,1,5.7,1
CUST1232,54,51,117.59,1,One Year,1,5.7,0
CUST1233,49,54,100.15,1,Month-to-Month,1,6.9,0
CUST1234,50,24,115.96,2,Month-to-Month,1,4.2,0
CUST1235,18,25,68.79,1,Month-to-Month,1,6.3,0
CUST1236,36,71,30.97,2,One Year,1,5.2,1
CUST1237,19,52,74.8,2,Two Year,0,3.4,0
CUST1238,61,70,65.44,3,Two Year,0,6.7,0
CUST1239,43,33,104.44,3,Month-to-Month,1,5.5,0
CUST1240,49,49,29.81,1,Two Year,1,5.7,0
CUST1241,23,29,68.82,1,One Year,1,3.6,0
CUST1242,49,63,35.0,1,Month-to-Month,1,9.2,1
CUST1243,21,22,52.47,2,Month-to-Month,1,7.8,0
CUST1244,28,26,93.74,2,Month-to-Month,1,7.9,1
CUST1245,34,28,67.6,1,Two Year,1,5.4,0
CUST1246,55,49,57.59,1,One Year,0,2.5,0
CUST1247,41,71,59.45,3,One Year,1,9.9,0
CUST1248,22,49,65.94,1,Month-to-Month,1,5.9,0
CUST1249,69,20,98.5,5,One Year,0,4.5,1
CUST1250,51,63,109.21,2,Month-to-Month,1,6.8,1
CUST1251,23,61,115.53,3,Month-to-Month,1,8.3,0
CUST1252,39,49,98.69,0,One Year,1,6.0,0
CUST1253,28,71,51.54,3,Month-to-Month,1,8.6,0
CUST1254,65,1,88.81,0,Two Year,1,8.2,0
CUST1255,33,13,63.76,4,Month-to-Month,0,3.8,0
CUST1256,50,51,45.47,1,One Year,1,4.7,0
CUST1257,26,56,104.09,2,Month-to-Month,1,7.9,0
CUST1258,23,62,23.84,3,One Year,1,1.0,0
CUST1259,33,32,110.18,1,Month-to-Month,1,5.7,0
CUST1260,46,30,66.15,0,Month-to-Month,1,3.1,0
CUST1261,20,29,83.72,2,Two Year,1,5.0,0
CUST1262,37,49,85.94,2,Month-to-Month,1,5.4,0
CUST1263,53,45,109.51,2,Two Year,1,5.3,0
CUST1264,36,30,83.67,0,Two Year,1,4.9,0
CUST1265,43,16,81.39,3,Month-to-Month,1,3.8,0
CUST1266,20,40,26.67,5,Month-to-Month,1,10.0,0
CUST1267,36,19,71.84,1,One Year,1,9.7,0
CUST1268,37,18,35.02,2,Two Year,1,3.7,0
CUST1269,49,1,93.74,2,Two Year,1,9.2,0
CUST1270,24,47,71.22,6,One Year,1,5.2,1
CUST1271,69,66,88.02,1,One Year,1,6.3,0
CUST1272,58,38,24.17,2,Month-to-Month,1,5.9,1
CUST1273,50,51,28.48,1,Two Year,1,4.7,0
CUST1274,57,63,91.63,1,Two Year,0,8.0,0
CUST1275,56,4,27.21,2,Month-to-Month,1,6.3,0
CUST1276,35,1,27.13,0,Month-to-Month,0,5.0,0
CUST1277,57,8,21.21,4,Month-to-Month,0,3.4,0
CUST1278,18,29,115.65,2,Month-to-Month,1,4.2,0
CUST1279,28,55,93.75,3,Two Year,1,2.7,0
CUST1280,45,3,55.33,1,Month-to-Month,1,6.0,0
CUST1281,42,32,49.65,1,Month-to-Month,1,3.6,1
CUST1282,67,10,54.97,3,Month-to-Month,1,5.5,0
CUST1283,40,34,97.47,2,Two Year,1,8.7,0
CUST1284,48,55,86.14,2,One Year,1,8.4,0
CUST1285,47,32,38.52,0,Month-to-Month,1,5.9,0
CUST1286,59,50,37.41,1,Month-to-Month,1,5.8,0
CUST1287,52,7,29.84,2,Two Year,0,9.8,0
CUST1288,24,8,86.03,0,Two Year,0,7.0,0
CUST1289,33,65,96.44,4,Month-to-Month,1,5.3,0
CUST1290,43,57,46.5,5,Month-to-Month,1,3.1,1
CUST1291,65,67,22.09,0,Month-to-Month,0,6.8,0
CUST1292,69,59,28.22,0,Month-to-Month,1,7.7,1
CUST1293,66,54,116.79,6,One Year,1,4.7,0
CUST1294,19,67,49.54,0,Two Year,1,6.6,0
CUST1295,18,51,96.92,1,Month-to-Month,1,5.3,1
CUST1296,65,8,82.47,0,Two Year,1,5.6,0
CUST1297,29,34,58.19,3,Month-to-Month,1,1.0,0
CUST1298,22,35,40.57,2,One Year,1,5.6,0
CUST1299,54,32,32.14,3,One Year,1,7.9,0
CUST1300,49,46,81.5,5,Month-to-Month,1,4.7,1
CUST1301,26,16,97.46,5,Month-to-Month,1,6.1,0
CUST1302,58,68,84.39,2,One Year,0,4.5,0
CUST1303,52,37,73.03,3,Month-to-Month,1,6.7,1
CUST1304,36,54,24.2,6,Month-to-Month,1,5.6,0
CUST1305,65,14,116.85,3,One Year,1,4.1,0
CUST1306,33,55,99.87,2,Two Year,1,8.7,0
CUST1307,20,48,49.28,3,Month-to-Month,0,7.9,0
CUST1308,37,7,118.0,1,Two Year,1,4.8,0
CUST1309,41,7,80.19,1,Month-to-Month,1,7.0,0
CUST1310,50,33,78.24,4,One Year,1,7.1,0
CUST1311,41,23,94.81,0,One Year,0,7.3,1
CUST1312,69,19,101.18,6,Two Year,1,2.6,1
CUST1313,28,19,85.65,2,Month-to-Month,1,8.0,1
CUST1314,66,36,32.81,3,One Year,0,4.9,1
CUST1315,25,29,53.83,2,One Year,1,5.3,0
CUST1316,53,60,112.81,0,Month-to-Month,1,10.0,0
CUST1317,55,2,42.46,1,Month-to-Month,0,6.6,1
CUST1318,57,1,57.22,4,Month-to-Month,0,5.2,1
CUST1319,37,47,63.21,3,Month-to-Month,0,1.6,0
CUST1320,52,69,63.94,3,Two Year,1,8.8,0
CUST1321,65,20,81.29,5,Month-to-Month,0,3.3,1
CUST1322,42,11,114.31,1,Month-to-Month,1,4.0,1
CUST1323,52,2,44.07,4,One Year,1,5.3,1
CUST1324,42,67,32.15,1,Month-to-Month,1,8.8,0
CUST1325,46,12,39.75,1,One Year,0,7.5,0
CUST1326,35,20,108.69,1,Month-to-Month,1,5.7,0
CUST1327,63,5,84.58,0,Two Year,1,6.6,0
CUST1328,35,37,48.59,1,Two Year,1,4.8,0
CUST1329,19,38,101.59,4,Two Year,1,6.3,0
CUST1330,52,9,106.14,2,Month-to-Month,0,6.1,0
CUST1331,33,53,104.65,1,One Year,1,7.9,0
CUST1332,58,44,111.89,1,Month-to-Month,1,7.9,0
CUST1333,53,24,45.22,1,Month-to-Month,1,7.0,0
CUST1334,50,30,95.5,2,Month-to-Month,1,5.3,0
CUST1335,21,59,66.05,2,One Year,1,7.5,0
CUST1336,50,14,104.2,0,Month-to-Month,0,5.8,1
CUST1337,31,9,92.85,2,One Year,1,3.8,0
CUST1338,38,40,97.64,1,Month-to-Month,1,5.2,1
CUST1339,65,66,85.62,2,Month-to-Month,0,6.2,0
CUST1340,37,25,37.74,2,One Year,1,7.8,0
CUST1341,25,22,74.5,0,Month-to-Month,1,5.6,0
CUST1342,24,4,118.47,2,One Year,1,3.6,0
CUST1343,20,26,113.74,0,Month-to-Month,0,6.1,0
CUST1344,34,58,24.32,3,Two Year,1,6.2,0
CUST1345,50,29,36.48,4,One Year,1,6.4,0
CUST1346,65,37,33.17,4,Month-to-Month,1,7.8,0
CUST1347,29,70,92.6,3,Month-to-Month,0,8.0,0
CUST1348,68,18,101.78,3,One Year,1,4.8,0
CUST1349,39,42,41.35,2,Two Year,1,4.8,0
CUST1350,39,41,70.59,0,Month-to-Month,1,3.9,1
CUST1351,63,38,104.07,2,Month-to-Month,1,7.4,0
CUST1352,47,34,93.28,3,Two Year,0,8.9,0
CUST1353,55,17,74.22,1,One Year,0,5.4,0
CUST1354,55,37,79.03,2,Month-to-Month,1,5.5,1
CUST1355,62,25,70.84,1,Month-to-Month,1,8.9,0
CUST1356,68,27,49.75,1,Month-to-Month,1,7.0,0
CUST1357,25,57,76.5,2,One Year,1,6.9,0
CUST1358,44,31,88.89,3,Month-to-Month,1,3.6,0
CUST1359,44,6,107.33,2,Two Year,1,7.4,0
CUST1360,51,40,83.63,0,Month-to-Month,1,4.1,1
CUST1361,38,12,96.11,3,Month-to-Month,1,3.7,1
CUST1362,47,53,36.01,2,One Year,1,5.3,0
CUST1363,50,71,66.16,2,Two Year,1,4.8,0
CUST1364,45,10,20.93,0,Two Year,0,5.6,0
CUST1365,64,45,44.67,4,Month-to-Month,1,3.1,0
CUST1366,50,17,92.65,2,One Year,1,7.9,0
CUST1367,22,26,119.18,2,One Year,1,8.3,0
CUST1368,65,62,29.92,1,Month-to-Month,1,2.1,0
CUST1369,36,46,60.15,2,Month-to-Month,1,8.0,0
CUST1370,21,64,100.01,2,Month-to-Month,1,4.4,0
CUST1371,52,2,40.4,2,Month-to-Month,1,7.7,1
CUST1372,66,54,75.51,4,Two Year,1,5.9,0
CUST1373,34,65,93.31,0,Month-to-Month,0,6.1,0
CUST1374,61,51,81.6,1,Two Year,1,5.6,0
CUST1375,45,53,38.8,4,One Year,1,8.4,0
CUST1376,47,36,55.54,0,One Year,1,3.5,0
CUST1377,46,26,98.38,0,One Year,0,7.2,0
CUST1378,63,29,75.42,3,Month-to-Month,0,8.2,0
CUST1379,23,21,20.52,0,Month-to-Month,1,7.4,0
CUST1380,52,11,96.1,1,Month-to-Month,1,10.0,0
CUST1381,58,40,23.53,0,One Year,0,4.9,0
CUST1382,54,11,94.57,1,Month-to-Month,1,7.9,1
CUST1383,41,36,40.25,2,One Year,1,5.8,0
CUST1384,46,59,115.81,2,Month-to-Month,1,8.5,1
CUST1385,66,39,56.79,1,Month-to-Month,1,6.0,0
CUST1386,63,54,52.69,2,Month-to-Month,1,5.2,1
CUST1387,48,55,34.89,3,Two Year,1,8.6,0
CUST1388,52,24,50.56,0,One Year,1,5.0,0
CUST1389,50,22,107.67,3,Month-to-Month,1,3.2,1
CUST1390,69,69,119.63,1,One Year,1,5.0,0
CUST1391,38,56,56.83,4,Month-to-Month,0,7.2,1
CUST1392,49,33,64.86,5,Two Year,1,8.8,0
CUST1393,40,36,92.21,1,One Year,1,6.2,0
CUST1394,50,20,108.62,1,Month-to-Month,1,8.6,1
CUST1395,20,62,79.3,4,One Year,1,3.3,0
CUST1396,35,26,59.15,1,Month-to-Month,1,5.1,0
CUST1397,42,66,61.26,1,Two Year,0,5.4,0
CUST1398,59,40,89.56,3,Month-to-Month,1,5.8,1
CUST1399,48,17,20.32,2,One Year,1,6.2,0
CUST1400,20,1,81.96,0,Month-to-Month,1,7.4,0
CUST1401,57,61,55.55,1,One Year,0,5.1,0
CUST1402,63,43,99.42,2,One Year,1,6.3,0
CUST1403,41,42,29.3,1,One Year,1,5.9,0
CUST1404,67,25,78.82,4,One Year,1,4.1,1
CUST1405,49,39,68.1,3,Two Year,1,5.8,0
CUST1406,64,35,84.23,0,Month-to-Month,1,5.7,0
CUST1407,39,3,26.49,2,Month-to-Month,0,5.7,0
CUST1408,40,44,78.0,4,Month-to-Month,1,6.1,0
CUST1409,19,51,76.15,2,Two Year,0,6.2,0
CUST1410,44,12,76.07,1,Month-to-Month,1,5.1,0
CUST1411,59,19,80.35,2,One Year,1,8.5,0
CUST1412,19,44,87.65,2,One Year,1,3.7,0
CUST1413,43,59,100.5,2,Month-to-Month,1,4.6,0
CUST1414,34,49,46.98,1,Month-to-Month,1,10.0,0
CUST1415,57,61,102.5,0,Month-to-Month,1,3.9,0
CUST1416,50,17,69.83,3,Month-to-Month,1,3.3,1
CUST1417,26,57,27.71,6,Month-to-Month,1,7.5,1
CUST1418,60,55,25.86,1,Month-to-Month,1,1.8,1
CUST1419,65,47,53.42,2,Two Year,0,5.5,0
CUST1420,56,12,98.49,2,Two Year,1,10.0,0
CUST1421,46,62,90.77,2,Month-to-Month,1,2.9,1
CUST1422,59,8,98.86,2,Month-to-Month,0,2.0,1
CUST1423,43,21,71.73,2,Month-to-Month,1,3.0,1
CUST1424,52,70,64.02,1,One Year,1,7.8,0
CUST1425,67,25,34.75,4,Two Year,0,8.2,0
CUST1426,42,12,52.82,3,Month-to-Month,1,5.0,1
CUST1427,41,15,63.4,0,Month-to-Month,1,7.4,0
CUST1428,30,59,28.86,2,One Year,1,8.8,0
CUST1429,24,26,42.06,2,One Year,0,9.6,0
CUST1430,53,26,79.82,3,Month-to-Month,1,5.5,0
CUST1431,62,47,93.57,1,One Year,1,1.4,0
CUST1432,37,32,119.83,2,Month-to-Month,1,4.4,0
CUST1433,18,10,113.31,0,Month-to-Month,1,5.1,0
CUST1434,25,16,84.26,3,One Year,1,5.5,0
CUST1435,63,71,62.12,3,Two Year,1,5.6,0
CUST1436,33,17,83.62,2,Month-to-Month,1,8.2,0
CUST1437,31,23,98.57,0,Two Year,1,8.5,0
CUST1438,29,26,31.83,3,Month-to-Month,1,5.7,0
CUST1439,68,7,60.99,2,One Year,1,8.2,0
CUST1440,40,14,103.98,4,Month-to-Month,1,6.7,0
CUST1441,32,7,58.38,1,Two Year,0,6.1,0
CUST1442,45,9,77.19,3,Two Year,1,7.8,0
CUST1443,51,48,78.78,2,Month-to-Month,1,6.1,0
CUST1444,19,59,38.45,4,Two Year,1,10.0,0
CUST1445,49,39,56.22,0,Two Year,1,3.1,0
CUST1446,40,18,53.45,2,One Year,0,5.0,0
CUST1447,39,59,22.62,1,Month-to-Month,1,5.7,0
CUST1448,68,17,22.42,1,Two Year,0,6.9,0
CUST1449,42,14,103.17,1,Two Year,1,8.5,0
CUST1450,39,31,47.31,0,Month-to-Month,1,6.0,0
CUST1451,39,24,71.81,1,Two Year,1,3.2,0
CUST1452,66,60,49.87,2,Month-to-Month,1,7.7,0
CUST1453,69,45,114.07,3,Month-to-Month,1,7.5,0
CUST1454,59,3,45.93,5,One Year,1,2.1,0
CUST1455,23,37,62.97,3,One Year,0,6.0,0
CUST1456,32,43,107.27,2,One Year,0,2.8,0
CUST1457,60,40,104.19,4,Month-to-Month,1,4.7,0
CUST1458,54,55,38.61,3,Two Year,1,4.2,0
